trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
261,False,"{'a': 0.5, 'e': 0.5062202572327784}",25,0,-70.77754537081827,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
262,False,"{'a': 0.5, 'e': 0.5027665997661179}",20,4,3.0588869013279263,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
263,False,"{'a': 0.5, 'e': 0.49930489804458683}",30,12,-13.243312249215773,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 0}",1
264,False,"{'a': 0.5, 'e': 0.49583520745533893}",20,0,-125.37323042537453,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
265,False,"{'a': 0.5, 'e': 0.4923575835133495}",20,12,-0.6850963406219943,"{0: 6, 1: 2, 2: 0, 3: 0, 4: 0}",1
266,False,"{'a': 0.5, 'e': 0.4888720818605275}",20,4,-48.41229279570288,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 1}",1
267,False,"{'a': 0.5, 'e': 0.485378758264825}",25,16,9.663362348110585,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
268,False,"{'a': 0.5, 'e': 0.481877668619345}",20,14,-23.006120498551272,"{0: 4, 1: 0, 2: 1, 3: 1, 4: 0}",1
269,False,"{'a': 0.5, 'e': 0.47836886894144715}",20,0,-11.96210909129615,"{0: 17, 1: 2, 2: 0, 3: 1, 4: 0}",0
270,False,"{'a': 0.5, 'e': 0.47485241537185147}",20,0,-9.256474633865103,"{0: 15, 1: 4, 2: 1, 3: 0, 4: 0}",0
271,False,"{'a': 0.5, 'e': 0.47132836417373997}",20,16,4.885293465140964,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
272,False,"{'a': 0.5, 'e': 0.4677967717318567}",25,11,-55.455269923625146,"{0: 8, 1: 4, 2: 1, 3: 0, 4: 1}",1
273,False,"{'a': 0.5, 'e': 0.46425769455160537}",20,0,16.767787929033688,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
274,False,"{'a': 0.5, 'e': 0.46071118925814536}",25,6,-64.97601403745627,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 1}",1
275,False,"{'a': 0.5, 'e': 0.45715731259548575}",20,0,-47.0040607097275,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
276,False,"{'a': 0.5, 'e': 0.4535961214255773}",20,4,-17.61419105979391,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 0}",1
277,False,"{'a': 0.5, 'e': 0.45002767272740274}",20,12,5.057089235404394,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
278,False,"{'a': 0.5, 'e': 0.4464520235960651}",35,0,6.479293439362439,"{0: 31, 1: 2, 2: 1, 3: 1, 4: 0}",0
279,False,"{'a': 0.5, 'e': 0.4428692312418743}",25,0,-64.40266770639774,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
280,False,"{'a': 0.5, 'e': 0.43927935298943144}",25,0,-61.64363986389697,"{0: 20, 1: 1, 2: 2, 3: 1, 4: 1}",0
281,False,"{'a': 0.5, 'e': 0.4356824462767121}",20,0,-55.761356828497455,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
282,False,"{'a': 0.5, 'e': 0.4320785686541468}",20,8,-28.243431107354755,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 1}",1
283,False,"{'a': 0.5, 'e': 0.42846777778370077}",20,12,13.7880782115169,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
284,False,"{'a': 0.5, 'e': 0.4248501314379508}",25,9,-14.91619476819985,"{0: 13, 1: 0, 2: 2, 3: 1, 4: 0}",1
285,False,"{'a': 0.5, 'e': 0.42122568749916134}",30,0,-107.92430211601996,"{0: 25, 1: 0, 2: 2, 3: 0, 4: 3}",0
286,False,"{'a': 0.5, 'e': 0.41759450395835795}",20,5,6.82434185121311,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
287,False,"{'a': 0.5, 'e': 0.4139566389144}",25,7,12.640826039785942,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1
288,False,"{'a': 0.5, 'e': 0.4103121505730504}",25,1,-32.03422528081751,"{0: 19, 1: 0, 2: 4, 3: 1, 4: 0}",1
289,False,"{'a': 0.5, 'e': 0.40666109724604504}",20,13,-50.50789645977781,"{0: 4, 1: 0, 2: 2, 3: 0, 4: 1}",1
290,False,"{'a': 0.5, 'e': 0.4030035373501593}",35,13,-19.934163103270937,"{0: 19, 1: 1, 2: 1, 3: 0, 4: 1}",1
291,False,"{'a': 0.5, 'e': 0.3993395294062732}",30,10,-68.28808459943832,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",1
292,False,"{'a': 0.5, 'e': 0.39566913203843584}",20,7,0.2602686011961586,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
293,False,"{'a': 0.5, 'e': 0.39199240397292684}",25,0,-22.491104838312836,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
294,False,"{'a': 0.5, 'e': 0.38830940403731673}",30,7,-60.005104112089434,"{0: 19, 1: 2, 2: 0, 3: 0, 4: 2}",1
295,False,"{'a': 0.5, 'e': 0.38462019115952595}",20,4,-73.01535250673011,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 2}",1
296,False,"{'a': 0.5, 'e': 0.38092482436688185}",20,9,-20.258301005029537,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
297,False,"{'a': 0.5, 'e': 0.37722336278517427}",20,10,17.19150433944077,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
298,False,"{'a': 0.5, 'e': 0.37351586563770955}",20,5,22.68195256617772,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
299,False,"{'a': 0.5, 'e': 0.36980239224436295}",25,0,-8.616014064627384,"{0: 21, 1: 2, 2: 1, 3: 1, 4: 0}",0
300,False,"{'a': 0.5, 'e': 0.36608300202062954}",25,13,20.34085031960013,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
301,False,"{'a': 0.5, 'e': 0.3623577544766736}",20,15,9.361717893152901,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
302,False,"{'a': 0.5, 'e': 0.35862670921637635}",20,0,10.522550246669962,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
303,False,"{'a': 0.5, 'e': 0.3548899259363823}",35,3,-27.241546611819995,"{0: 28, 1: 1, 2: 2, 3: 0, 4: 1}",1
304,False,"{'a': 0.5, 'e': 0.3511474644251443}",20,8,17.293870684857655,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
305,False,"{'a': 0.5, 'e': 0.34739938456196656}",20,16,9.241818074000093,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
306,False,"{'a': 0.5, 'e': 0.34364574631604705}",25,11,-9.004787722924117,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 0}",1
307,False,"{'a': 0.5, 'e': 0.3398866097455176}",20,0,2.184395059863179,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
308,False,"{'a': 0.5, 'e': 0.3361220349964831}",25,0,-7.917926824139084,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
309,False,"{'a': 0.5, 'e': 0.33235208230205926}",35,10,-6.028674892259815,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",1
310,False,"{'a': 0.5, 'e': 0.3285768119814088}",20,0,-29.952645523954793,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 1}",0
311,False,"{'a': 0.5, 'e': 0.32479628443877623}",20,13,8.601838009851864,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
312,False,"{'a': 0.5, 'e': 0.32101056016252166}",20,10,-24.416516203930524,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
313,False,"{'a': 0.5, 'e': 0.3172196997241527}",25,3,-146.28832983697174,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 3}",1
